,Variable,SHAP_abs,Corr,Sign
681,WindowCombinationDrugs_metoprolol-metoprolol-simvastatin-simvastatin-valsartan-valsartan-valsartan-50-50-20-20-320-320-320,0.0,0.0,blue
682,WindowCombinationDrugs_metoprolol-simvastatin-valsartan-50-20-320,0.0,0.0,blue
683,WindowCombinationDrugs_atenolol-atenolol-metformin-metformin-simvastatin-simvastatin-100-100-1000-1000-40-40,0.0,0.0,blue
684,Drug_DailyDosage_DurationDose_atenolol-100-120,0.0,0.0,blue
685,Drug_DailyDosage_DurationDose_metformin-1000-45,0.0,0.0,blue
686,WindowCombinationDrugs_atenolol-atenolol-atenolol-atenolol-metformin-simvastatin-simvastatin-100-100-100-100-1000-40-40,0.0,0.0,blue
687,WindowCombinationDrugs_atenolol-atenolol-atenolol-metformin-simvastatin-100-100-100-1000-40,0.0,0.0,blue
688,WindowCombinationDrugs_atenolol-metformin-metformin-simvastatin-100-1000-1000-40,0.0,0.0,blue
689,WindowCombinationDrugs_atenolol-atenolol-metformin-metformin-simvastatin-100-100-1000-1000-40,0.0,0.0,blue
690,WindowCombinationDrugs_metformin-simvastatin-2550-20,0.0,0.0,blue
691,Drug_DailyDosage_DurationDose_metformin-2550-90,0.0,0.0,blue
692,WindowCombinationDrugs_metformin-metformin-simvastatin-simvastatin-2550-2550-20-20,0.0,0.0,blue
693,WindowCombinationDrugs_metformin-metformin-simvastatin-2550-2550-20,0.0,0.0,blue
694,WindowCombinationDrugs_atorvastatin-metoprolol-10-50,0.0,0.0,blue
695,WindowCombinationDrugs_atorvastatin-atorvastatin-metoprolol-metoprolol-10-10-50-50,0.0,0.0,blue
696,WindowCombinationDrugs_metformin-metformin-simvastatin-simvastatin-simvastatin-500-500-20-20-20,0.0,0.0,blue
697,WindowCombinationDrugs_metformin-metformin-simvastatin-simvastatin-500-500-20-20,0.0,0.0,blue
698,WindowCombinationDrugs_metformin-metformin-metoprolol-metoprolol-simvastatin-500-500-50-50-20,0.0,0.0,blue
699,WindowCombinationDrugs_metformin-metoprolol-simvastatin-500-50-20,0.0,0.0,blue
700,WindowCombinationDrugs_metformin-rosuvastatin-rosuvastatin-1000-20-20,0.0,0.0,blue
701,WindowCombinationDrugs_metformin-rosuvastatin-1000-20,0.0,0.0,blue
702,WindowCombinationDrugs_losartan-losartan-metformin-rosuvastatin-25-25-1000-20,0.0,0.0,blue
703,WindowCombinationDrugs_rosuvastatin-rosuvastatin-rosuvastatin-10-10-10,0.0,0.0,blue
678,WindowCombinationDrugs_metoprolol-metoprolol-metoprolol-metoprolol-valsartan-valsartan-50-50-50-50-320-320,0.0,0.0,blue
677,WindowCombinationDrugs_metformin-metformin-simvastatin-500-500-40,0.0,0.0,blue
676,WindowCombinationDrugs_lovastatin-metoprolol-20-25,0.0,0.0,blue
675,WindowCombinationDrugs_metformin-metoprolol-500-25,0.0,0.0,blue
648,WindowCombinationDrugs_metoprolol-metoprolol-simvastatin-simvastatin-50-50-40-40,0.0,0.0,blue
649,WindowCombinationDrugs_metoprolol-simvastatin-50-40,0.0,0.0,blue
650,WindowCombinationDrugs_metoprolol-simvastatin-simvastatin-50-40-40,0.0,0.0,blue
651,WindowCombinationDrugs_atorvastatin-metformin-10-2000,0.0,0.0,blue
652,WindowCombinationDrugs_atorvastatin-atorvastatin-losartan-20-20-100,0.0,0.0,blue
653,WindowCombinationDrugs_atorvastatin-atorvastatin-losartan-losartan-20-20-100-100,0.0,0.0,blue
654,WindowCombinationDrugs_atorvastatin-losartan-20-100,0.0,0.0,blue
655,WindowCombinationDrugs_atorvastatin-atorvastatin-atorvastatin-atorvastatin-valsartan-valsartan-10-10-10-10-160-160,0.0,0.0,blue
656,WindowCombinationDrugs_atorvastatin-atorvastatin-atorvastatin-atorvastatin-valsartan-10-10-10-10-160,0.0,0.0,blue
657,Drug_DailyDosage_DurationDose_valsartan-160-150,0.0,0.0,blue
658,WindowCombinationDrugs_atorvastatin-atorvastatin-valsartan-10-10-160,0.0,0.0,blue
659,WindowCombinationDrugs_losartan-losartan-losartan-metformin-100-100-100-1000,0.0,0.0,blue
589,WindowCombinationDrugs_atorvastatin-losartan-losartan-metformin-40-100-50-1000,0.0,0.0,blue
660,WindowCombinationDrugs_metoprolol-valsartan-200-320,0.0,0.0,blue
662,WindowCombinationDrugs_metoprolol-metoprolol-metoprolol-valsartan-valsartan-200-200-200-160-160,0.0,0.0,blue
663,WindowCombinationDrugs_metoprolol-metoprolol-valsartan-valsartan-200-200-160-160,0.0,0.0,blue
664,WindowCombinationDrugs_metoprolol-valsartan-200-160,0.0,0.0,blue
665,WindowCombinationDrugs_carvedilol-carvedilol-metformin-metformin-50-50-2000-2000,0.0,0.0,blue
666,Drug_DailyDosage_DurationDose_carvedilol-50-45,0.0,0.0,blue
667,Drug_DailyDosage_DurationDose_metformin-2000-270,0.0,0.0,blue
668,WindowCombinationDrugs_carvedilol-carvedilol-carvedilol-metformin-metformin-50-50-50-2000-2000,0.0,0.0,blue
669,WindowCombinationDrugs_metformin-metformin-2000-2000,0.0,0.0,blue
670,WindowCombinationDrugs_losartan-losartan-50-50,0.0,0.0,blue
671,WindowCombinationDrugs_atorvastatin-atorvastatin-metoprolol-80-40-50,0.0,0.0,blue
672,WindowCombinationDrugs_atorvastatin-metoprolol-40-50,0.0,0.0,blue
673,WindowCombinationDrugs_atorvastatin-atorvastatin-metoprolol-metoprolol-40-80-25-50,0.0,0.0,blue
661,WindowCombinationDrugs_metoprolol-metoprolol-valsartan-valsartan-valsartan-valsartan-valsartan-200-200-320-320-320-160-160,0.0,0.0,blue
704,WindowCombinationDrugs_rosuvastatin-rosuvastatin-rosuvastatin-rosuvastatin-10-10-10-10,0.0,0.0,blue
588,WindowCombinationDrugs_atorvastatin-losartan-40-50,0.0,0.0,blue
586,WindowCombinationDrugs_atorvastatin-metformin-metformin-40-1000-1000,0.0,0.0,blue
499,WindowCombinationDrugs_atorvastatin-atorvastatin-80-80,0.0,0.0,blue
500,WindowCombinationDrugs_atorvastatin-metoprolol-80-100,0.0,0.0,blue
501,WindowCombinationDrugs_atorvastatin-carvedilol-metformin-40-50-1000,0.0,0.0,blue
502,Drug_DailyDosage_DurationDose_carvedilol-50-90,0.0,0.0,blue
503,WindowCombinationDrugs_atorvastatin-atorvastatin-carvedilol-carvedilol-metformin-40-40-50-50-1000,0.0,0.0,blue
504,WindowCombinationDrugs_atorvastatin-atorvastatin-carvedilol-metformin-40-40-50-1000,0.0,0.0,blue
505,WindowCombinationDrugs_atorvastatin-atorvastatin-metformin-metformin-40-40-1000-1000,0.0,0.0,blue
506,WindowCombinationDrugs_atorvastatin-metformin-metoprolol-80-1000-50,0.0,0.0,blue
507,Drug_DailyDosage_DurationDose_metoprolol-50-270,0.0,0.0,blue
508,WindowCombinationDrugs_atorvastatin-atorvastatin-metformin-20-40-500,0.0,0.0,blue
509,WindowCombinationDrugs_atorvastatin-atorvastatin-atorvastatin-metformin-rosuvastatin-20-40-40-500-40,0.0,0.0,blue
510,WindowCombinationDrugs_atorvastatin-metformin-rosuvastatin-rosuvastatin-rosuvastatin-40-500-40-40-20,0.0,0.0,blue
511,Drug_DailyDosage_DurationDose_rosuvastatin-40-135,0.0,0.0,blue
512,Drug_DailyDosage_DurationDose_simvastatin-20-270,0.0,0.0,blue
513,WindowCombinationDrugs_atorvastatin-losartan-losartan-losartan-20-100-100-100,0.0,0.0,blue
514,WindowCombinationDrugs_atorvastatin-atorvastatin-atorvastatin-losartan-losartan-20-20-20-100-100,0.0,0.0,blue
515,WindowCombinationDrugs_metformin-metformin-1000-1000,0.0,0.0,blue
516,WindowCombinationDrugs_losartan-25,0.0,0.0,blue
517,WindowCombinationDrugs_losartan-losartan-metformin-25-25-1000,0.0,0.0,blue
518,WindowCombinationDrugs_losartan-metformin-25-1000,0.0,0.0,blue
519,WindowCombinationDrugs_metformin-metformin-metoprolol-1000-1000-200,0.0,0.0,blue
520,Drug_DailyDosage_DurationDose_metoprolol-200-30,0.0,0.0,blue
521,WindowCombinationDrugs_lovastatin-lovastatin-metoprolol-20-20-200,0.0,0.0,blue
522,Drug_DailyDosage_DurationDose_lovastatin-20-120,0.0,0.0,blue
523,WindowCombinationDrugs_lovastatin-lovastatin-lovastatin-lovastatin-lovastatin-metformin-metformin-metformin-metoprolol-metoprolol-20-20-20-20-20-1000-1000-1000-200-200,0.0,0.0,blue
498,Drug_DailyDosage_DurationDose_metoprolol-100-3,0.0,0.0,blue
524,Drug_DailyDosage_DurationDose_lovastatin-20-30,0.0,0.0,blue
497,WindowCombinationDrugs_atorvastatin-atorvastatin-metoprolol-metoprolol-80-80-100-100,0.0,0.0,blue
495,Drug_DailyDosage_DurationDose_valsartan-160-30,0.0,0.0,blue
939,WindowCombinationDrugs_atorvastatin-atorvastatin-atorvastatin-losartan-losartan-losartan-losartan-10-10-10-100-100-100-100,0.0,0.0,blue
471,WindowCombinationDrugs_lovastatin-40,0.0,0.0,blue
472,WindowCombinationDrugs_nebivolol-valsartan-20-320,0.0,0.0,blue
473,Drug_DailyDosage_DurationDose_nebivolol-20-30,0.0,0.0,blue
474,WindowCombinationDrugs_carvedilol-nebivolol-nebivolol-pravastatin-valsartan-25-20-20-80-320,0.0,0.0,blue
475,WindowCombinationDrugs_valsartan-320,0.0,0.0,blue
476,WindowCombinationDrugs_pravastatin-valsartan-80-320,0.0,0.0,blue
477,WindowCombinationDrugs_atorvastatin-olmesartan-olmesartan-40-40-40,0.0,0.0,blue
478,Drug_DailyDosage_DurationDose_atorvastatin-40-7,0.0,0.0,blue
479,WindowCombinationDrugs_losartan-metformin-metformin-olmesartan-olmesartan-100-500-500-40-40,0.0,0.0,blue
480,WindowCombinationDrugs_metformin-simvastatin-simvastatin-simvastatin-simvastatin-500-10-10-20-10,0.0,0.0,blue
481,WindowCombinationDrugs_metformin-simvastatin-simvastatin-500-10-20,0.0,0.0,blue
482,WindowCombinationDrugs_metformin-simvastatin-500-20,0.0,0.0,blue
483,WindowCombinationDrugs_atorvastatin-atorvastatin-telmisartan-telmisartan-20-20-80-80,0.0,0.0,blue
484,Drug_DailyDosage_DurationDose_telmisartan-80-30,0.0,0.0,blue
485,WindowCombinationDrugs_metformin-1700,0.0,0.0,blue
486,Drug_DailyDosage_DurationDose_metformin-1700-30,0.0,0.0,blue
487,WindowCombinationDrugs_atorvastatin-metformin-metformin-metformin-telmisartan-20-1700-1700-1700-80,0.0,0.0,blue
488,WindowCombinationDrugs_atorvastatin-metformin-metformin-telmisartan-valsartan-valsartan-valsartan-20-1700-1700-80-160-160-160,0.0,0.0,blue
489,Drug_DailyDosage_DurationDose_valsartan-160-45,0.0,0.0,blue
490,Drug_DailyDosage_DurationDose_valsartan-160-60,0.0,0.0,blue
491,WindowCombinationDrugs_metformin-metformin-metformin-metformin-valsartan-valsartan-valsartan-1700-1700-1700-1700-160-160-160,0.0,0.0,blue
492,Drug_DailyDosage_DurationDose_metformin-1700-6,0.0,0.0,blue
493,Drug_DailyDosage_DurationDose_valsartan-160-18,0.0,0.0,blue
494,WindowCombinationDrugs_atorvastatin-metformin-metformin-metformin-valsartan-valsartan-valsartan-20-1700-1700-1700-160-160-160,0.0,0.0,blue
496,Drug_DailyDosage_DurationDose_metoprolol-25-90,0.0,0.0,blue
525,Drug_DailyDosage_DurationDose_lovastatin-20-270,0.0,0.0,blue
526,Drug_DailyDosage_DurationDose_metformin-1000-270,0.0,0.0,blue
527,Drug_DailyDosage_DurationDose_metoprolol-200-270,0.0,0.0,blue
560,WindowCombinationDrugs_atorvastatin-metformin-valsartan-valsartan-valsartan-20-2000-160-160-160,0.0,0.0,blue
561,WindowCombinationDrugs_valsartan-160,0.0,0.0,blue
562,WindowCombinationDrugs_losartan-metoprolol-100-100,0.0,0.0,blue
563,WindowCombinationDrugs_atorvastatin-atorvastatin-losartan-losartan-metoprolol-metoprolol-40-40-100-100-100-100,0.0,0.0,blue
564,WindowCombinationDrugs_atorvastatin-atorvastatin-losartan-losartan-metoprolol-40-40-100-100-100,0.0,0.0,blue
565,WindowCombinationDrugs_atorvastatin-losartan-losartan-metoprolol-40-100-100-100,0.0,0.0,blue
566,WindowCombinationDrugs_atorvastatin-losartan-metoprolol-40-100-100,0.0,0.0,blue
568,WindowCombinationDrugs_metformin-simvastatin-750-40,0.0,0.0,blue
569,Drug_DailyDosage_DurationDose_metformin-750-540,0.0,0.0,blue
570,Drug_DailyDosage_DurationDose_simvastatin-40-180,0.0,0.0,blue
571,WindowCombinationDrugs_metformin-metformin-simvastatin-750-750-40,0.0,0.0,blue
572,WindowCombinationDrugs_metformin-750,0.0,0.0,blue
573,WindowCombinationDrugs_atorvastatin-pravastatin-rosuvastatin-rosuvastatin-40-40-5-5,0.0,0.0,blue
574,Drug_DailyDosage_DurationDose_pravastatin-40-30,0.0,0.0,blue
575,Drug_DailyDosage_DurationDose_rosuvastatin-5-30,0.0,0.0,blue
576,WindowCombinationDrugs_losartan-pravastatin-pravastatin-rosuvastatin-simvastatin-25-40-40-5-10,0.0,0.0,blue
577,WindowCombinationDrugs_losartan-pravastatin-simvastatin-25-40-10,0.0,0.0,blue
578,WindowCombinationDrugs_atenolol-atenolol-rosuvastatin-rosuvastatin-50-50-20-20,0.0,0.0,blue
579,Drug_DailyDosage_DurationDose_rosuvastatin-20-30,0.0,0.0,blue
580,WindowCombinationDrugs_atenolol-rosuvastatin-50-20,0.0,0.0,blue
581,WindowCombinationDrugs_losartan-metoprolol-rosuvastatin-rosuvastatin-50-50-10-10,0.0,0.0,blue
582,WindowCombinationDrugs_losartan-losartan-metoprolol-metoprolol-rosuvastatin-rosuvastatin-50-50-50-50-10-10,0.0,0.0,blue
583,WindowCombinationDrugs_losartan-losartan-metoprolol-metoprolol-metoprolol-metoprolol-rosuvastatin-rosuvastatin-50-50-50-50-50-50-10-10,0.0,0.0,blue
584,WindowCombinationDrugs_metoprolol-metoprolol-metoprolol-rosuvastatin-50-50-50-10,0.0,0.0,blue
585,WindowCombinationDrugs_valsartan-valsartan-valsartan-160-160-320,0.0,0.0,blue
559,WindowCombinationDrugs_atorvastatin-metformin-metformin-valsartan-20-2000-2000-160,0.0,0.0,blue
558,WindowCombinationDrugs_atorvastatin-metformin-metformin-valsartan-valsartan-valsartan-20-2000-2000-160-160-160,0.0,0.0,blue
557,Drug_DailyDosage_DurationDose_lovastatin-10-30,0.0,0.0,blue
556,WindowCombinationDrugs_atenolol-atenolol-lovastatin-lovastatin-valsartan-25-25-10-10-320,0.0,0.0,blue
528,WindowCombinationDrugs_lovastatin-metformin-metoprolol-20-1000-200,0.0,0.0,blue
531,Drug_DailyDosage_DurationDose_atorvastatin-40-330,0.0,0.0,blue
532,WindowCombinationDrugs_metformin-rosuvastatin-rosuvastatin-2000-5-5,0.0,0.0,blue
533,Drug_DailyDosage_DurationDose_rosuvastatin-5-90,0.0,0.0,blue
534,WindowCombinationDrugs_rosuvastatin-rosuvastatin-valsartan-5-5-160,0.0,0.0,blue
535,WindowCombinationDrugs_metformin-rosuvastatin-valsartan-2000-5-160,0.0,0.0,blue
536,WindowCombinationDrugs_rosuvastatin-valsartan-5-160,0.0,0.0,blue
537,WindowCombinationDrugs_losartan-losartan-losartan-losartan-50-50-50-100,0.0,0.0,blue
538,WindowCombinationDrugs_losartan-losartan-losartan-losartan-50-50-100-50,0.0,0.0,blue
539,WindowCombinationDrugs_atorvastatin-losartan-metformin-metformin-80-100-2000-500,0.0,0.0,blue
540,WindowCombinationDrugs_atorvastatin-losartan-80-100,0.0,0.0,blue
541,WindowCombinationDrugs_atorvastatin-losartan-losartan-losartan-metformin-80-100-100-100-2000,0.0,0.0,blue
587,WindowCombinationDrugs_atorvastatin-losartan-metformin-40-50-1000,0.0,0.0,blue
542,WindowCombinationDrugs_atorvastatin-losartan-losartan-metformin-metformin-metformin-80-100-100-2000-2000-2000,0.0,0.0,blue
544,Drug_DailyDosage_DurationDose_canagliflozin-100-30,0.0,0.0,blue
545,WindowCombinationDrugs_atorvastatin-canagliflozin-losartan-metformin-80-100-100-2000,0.0,0.0,blue
546,WindowCombinationDrugs_atenolol-lovastatin-25-10,0.0,0.0,blue
547,Drug_DailyDosage_DurationDose_atenolol-25-150,0.0,0.0,blue
548,Drug_DailyDosage_DurationDose_lovastatin-10-150,0.0,0.0,blue
549,WindowCombinationDrugs_atenolol-lovastatin-valsartan-25-10-320,0.0,0.0,blue
550,Drug_DailyDosage_DurationDose_valsartan-320-75,0.0,0.0,blue
551,WindowCombinationDrugs_atenolol-atenolol-lovastatin-lovastatin-25-25-10-10,0.0,0.0,blue
552,Drug_DailyDosage_DurationDose_atenolol-25-30,0.0,0.0,blue
553,Drug_DailyDosage_DurationDose_lovastatin-10-1,0.0,0.0,blue
554,WindowCombinationDrugs_atenolol-atenolol-lovastatin-valsartan-25-25-10-320,0.0,0.0,blue
555,Drug_DailyDosage_DurationDose_lovastatin-10-2,0.0,0.0,blue
543,WindowCombinationDrugs_atorvastatin-canagliflozin-losartan-losartan-losartan-losartan-metformin-80-100-100-100-100-100-2000,0.0,0.0,blue
705,WindowCombinationDrugs_atenolol-simvastatin-100-20,0.0,0.0,blue
706,WindowCombinationDrugs_atenolol-atenolol-simvastatin-simvastatin-100-100-20-20,0.0,0.0,blue
707,WindowCombinationDrugs_carvedilol-carvedilol-simvastatin-simvastatin-50-50-40-40,0.0,0.0,blue
855,WindowCombinationDrugs_atorvastatin-metoprolol-rosuvastatin-40-50-10,0.0,0.0,blue
856,WindowCombinationDrugs_metformin-metformin-metoprolol-rosuvastatin-500-500-50-10,0.0,0.0,blue
857,WindowCombinationDrugs_irbesartan-irbesartan-simvastatin-150-150-40,0.0,0.0,blue
858,Drug_DailyDosage_DurationDose_irbesartan-150-30,0.0,0.0,blue
859,WindowCombinationDrugs_atorvastatin-metoprolol-20-25,0.0,0.0,blue
860,Drug_DailyDosage_DurationDose_atorvastatin-20-330,0.0,0.0,blue
861,WindowCombinationDrugs_atorvastatin-atorvastatin-carvedilol-40-20-25,0.0,0.0,blue
862,Drug_DailyDosage_DurationDose_carvedilol-25-330,0.0,0.0,blue
863,WindowCombinationDrugs_atorvastatin-carvedilol-carvedilol-20-25-50,0.0,0.0,blue
864,Drug_DailyDosage_DurationDose_carvedilol-50-60,0.0,0.0,blue
865,WindowCombinationDrugs_atorvastatin-carvedilol-20-25,0.0,0.0,blue
866,WindowCombinationDrugs_atorvastatin-carvedilol-20-50,0.0,0.0,blue
867,Drug_DailyDosage_DurationDose_carvedilol-50-330,0.0,0.0,blue
868,WindowCombinationDrugs_losartan-metformin-metoprolol-metoprolol-simvastatin-simvastatin-50-500-50-50-20-20,0.0,0.0,blue
869,WindowCombinationDrugs_losartan-losartan-metformin-metoprolol-metoprolol-metoprolol-simvastatin-simvastatin-simvastatin-50-50-500-50-50-50-20-20-20,0.0,0.0,blue
870,WindowCombinationDrugs_atorvastatin-losartan-losartan-metformin-metoprolol-metoprolol-simvastatin-simvastatin-40-50-50-500-50-50-20-20,0.0,0.0,blue
871,WindowCombinationDrugs_atorvastatin-losartan-metformin-metoprolol-simvastatin-40-50-500-50-20,0.0,0.0,blue
872,WindowCombinationDrugs_lovastatin-metoprolol-40-25,0.0,0.0,blue
873,Drug_DailyDosage_DurationDose_metoprolol-25-540,0.0,0.0,blue
874,WindowCombinationDrugs_lovastatin-metoprolol-metoprolol-40-25-25,0.0,0.0,blue
875,Drug_DailyDosage_DurationDose_lovastatin-40-180,0.0,0.0,blue
876,WindowCombinationDrugs_metoprolol-metoprolol-25-25,0.0,0.0,blue
877,WindowCombinationDrugs_metformin-metoprolol-rosuvastatin-1000-50-40,0.0,0.0,blue
878,WindowCombinationDrugs_metformin-metformin-metformin-1000-1000-1000,0.0,0.0,blue
879,WindowCombinationDrugs_atorvastatin-metformin-metformin-metformin-metformin-20-1000-2000-2000-2000,0.0,0.0,blue
854,WindowCombinationDrugs_losartan-rosuvastatin-50-20,0.0,0.0,blue
880,WindowCombinationDrugs_atorvastatin-metformin-metformin-metformin-20-2000-2000-2000,0.0,0.0,blue
853,Drug_DailyDosage_DurationDose_telmisartan-40-90,0.0,0.0,blue
851,WindowCombinationDrugs_losartan-metformin-simvastatin-50-2000-40,0.0,0.0,blue
826,WindowCombinationDrugs_metoprolol-pravastatin-25-80,0.0,0.0,blue
827,Drug_DailyDosage_DurationDose_pravastatin-80-30,0.0,0.0,blue
828,WindowCombinationDrugs_atorvastatin-metoprolol-pravastatin-80-25-80,0.0,0.0,blue
829,WindowCombinationDrugs_atorvastatin-metoprolol-metoprolol-metoprolol-pravastatin-80-25-25-25-80,0.0,0.0,blue
830,WindowCombinationDrugs_metoprolol-metoprolol-metoprolol-pravastatin-25-25-25-80,0.0,0.0,blue
831,WindowCombinationDrugs_atorvastatin-pravastatin-80-80,0.0,0.0,blue
832,WindowCombinationDrugs_atorvastatin-metoprolol-metoprolol-80-25-25,0.0,0.0,blue
833,WindowCombinationDrugs_losartan-losartan-losartan-simvastatin-simvastatin-50-50-50-20-20,0.0,0.0,blue
834,WindowCombinationDrugs_losartan-losartan-losartan-losartan-simvastatin-simvastatin-50-50-50-50-20-20,0.0,0.0,blue
835,WindowCombinationDrugs_losartan-losartan-simvastatin-simvastatin-50-50-20-20,0.0,0.0,blue
